"NO2" "type" "fluidite"
"201" 120.35865 "A" "A"
"202" 146.34611 "U" "B"
"203" 176.47063 "U" "B"
"204" 320.0014 "U" "C"
"205" 284.8192 "U" "A"
"206" 222.8588 "P" "C"
"207" 209.6989 "A" "A"
"208" 257.9264 "P" "B"
"209" 225.8384 "P" "A"
"210" 253.0368 "V" "B"
"211" 191.955 "U" "A"
"212" 269.0808 "U" "D"
"213" 408.2243 "P" "B"
"214" 496.4854 "T" "B"
"215" 452.1925 "A" "A"
"216" 461.0167 "A" "C"
"217" 481.9885 "T" "A"
"218" 501.7188 "P" "B"
"219" 376.4801 "A" "A"
"220" 162.58302 "A" "A"
"221" 296.5084 "U" "B"
"222" 373.0039 "U" "A"
"223" 500.4009 "U" "A"
"224" 178.03492 "U" "C"
"225" 299.9846 "P" "A"
"226" 359.4238 "A" "A"
"227" 381.3888 "P" "D"
"228" 397.8912 "P" "C"
"229" 355.2027 "V" "C"
"230" 331.0985 "U" "D"
"231" 335.7398 "U" "A"
"232" 511.3834 "V" "C"
"233" 85.37509 "A" "B"
"234" 74.49 "T" "C"
"235" 99.18439 "P" "A"
"236" 126.51649 "V" "A"
"237" 81.63913 "A" "D"
"238" 94.22603 "A" "C"
"239" 135.70359 "U" "A"
"240" 143.18506 "U" "A"
"241" 155.85791 "U" "B"
"242" 177.01689 "U" "A"
"243" 101.72469 "P" "D"
"244" 83.4097 "A" "B"
"245" 85.61957 "P" "C"
"246" 114.41282 "P" "C"
"247" 97.24574 "V" "C"
"248" 107.06123 "U" "A"
"249" 181.09283 "U" "D"
"250" 207.999 "P" "D"
"251" 207.2923 "T" "A"
"252" 221.8656 "A" "A"
"253" 237.4321 "A" "D"
"254" 199.3276 "T" "A"
"255" 199.2512 "P" "C"
"256" 206.471 "V" "A"
"257" 170.7731 "A" "D"
"258" 201.2949 "A" "D"
"259" 256.6085 "U" "C"
"260" 292.8794 "U" "C"
"261" 202.1544 "U" "C"
"262" 206.5474 "U" "D"
"263" 160.91177 "P" "A"
"264" 87.45508 "A" "D"
"265" 158.3008 "P" "D"
"266" 171.36711 "P" "A"
"267" 206.5283 "V" "C"
"268" 130.48929 "U" "B"
"269" 285.4304 "U" "A"
"270" 132.35345 "A" "A"
"271" 150.59777 "T" "D"
"272" 174.21492 "P" "B"
"273" 210.0045 "V" "C"
"274" 137.30417 "A" "A"
"275" 106.62766 "A" "C"
"276" 168.71985 "U" "A"
"277" 206.0508 "U" "B"
"278" 119.3177 "U" "B"
"279" 174.5931 "U" "B"
"280" 127.64148 "P" "D"
"281" 131.45002 "A" "C"
"282" 70.77505 "P" "C"
"283" 184.1622 "P" "B"
"284" 121.87519 "V" "D"
"285" 152.39126 "U" "A"
"286" 129.116 "U" "C"
